"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","OP_HOUR","OP_TIME","GLOAD (MW)","SLOAD (1000lb/hr)","SO2_MASS (lbs)","SO2_MASS_MEASURE_FLG","SO2_RATE (lbs/mmBtu)","SO2_RATE_MEASURE_FLG","NOX_RATE (lbs/mmBtu)","NOX_RATE_MEASURE_FLG","NOX_MASS (lbs)","NOX_MASS_MEASURE_FLG","CO2_MASS (tons)","CO2_MASS_MEASURE_FLG","CO2_RATE (tons/mmBtu)","CO2_RATE_MEASURE_FLG","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"MD","Brandon Shores","602","1","02-01-2017","0","1","271","","48.7","Measured",".015","Calculated",".087","Measured","274","Measured","323.2","Measured",".103","Calculated","3149.9","110","395"
"MD","Brandon Shores","602","1","02-01-2017","1","1","271","","40.1","Measured",".013","Calculated",".084","Measured","261.2","Measured","319.1","Measured",".103","Calculated","3109.7","110","395"
"MD","Brandon Shores","602","1","02-01-2017","2","1","269","","38.5","Measured",".012","Calculated",".068","Measured","215.1","Measured","324.6","Measured",".103","Calculated","3163.8","110","395"
"MD","Brandon Shores","602","1","02-01-2017","3","1","270","","33.9","Measured",".011","Calculated",".064","Measured","200.7","Measured","321.7","Measured",".103","Calculated","3135.4","110","395"
"MD","Brandon Shores","602","1","02-01-2017","4","1","269","","37.3","Measured",".012","Calculated",".064","Measured","205.1","Measured","328.9","Measured",".103","Calculated","3205.3","110","395"
"MD","Brandon Shores","602","1","02-01-2017","5","1","275","","42.5","Measured",".013","Calculated",".073","Measured","231.7","Measured","325.7","Measured",".103","Calculated","3174.5","110","395"
"MD","Brandon Shores","602","1","02-01-2017","6","1","267","","45.7","Measured",".014","Calculated",".069","Measured","218.4","Measured","324.8","Measured",".103","Calculated","3165.9","110","395"
"MD","Brandon Shores","602","1","02-01-2017","7","1","280","","53","Measured",".016","Calculated",".066","Measured","219.3","Measured","340.9","Measured",".103","Calculated","3323","110","395"
"MD","Brandon Shores","602","1","02-01-2017","8","1","268","","44.3","Measured",".014","Calculated",".058","Measured","188","Measured","332.5","Measured",".103","Calculated","3240.7","110","395"
"MD","Brandon Shores","602","1","02-01-2017","9","1","268","","55.7","Measured",".017","Calculated",".072","Measured","232.9","Measured","331.9","Measured",".103","Calculated","3235.3","110","395"
"MD","Brandon Shores","602","1","02-01-2017","10","1","271","","57.6","Measured",".018","Calculated",".063","Measured","204.9","Measured","333.6","Measured",".103","Calculated","3251.6","110","395"
"MD","Brandon Shores","602","1","02-01-2017","11","1","269","","51","Measured",".016","Calculated",".071","Measured","226.5","Measured","327.4","Measured",".103","Calculated","3190.8","110","395"
"MD","Brandon Shores","602","1","02-01-2017","12","1","271","","69.3","Measured",".021","Calculated",".063","Measured","208.8","Measured","340","Measured",".103","Calculated","3314","110","395"
"MD","Brandon Shores","602","1","02-01-2017","13","1","272","","52.5","Measured",".016","Calculated",".066","Measured","210.1","Measured","326.6","Measured",".103","Calculated","3183.7","110","395"
"MD","Brandon Shores","602","1","02-01-2017","14","1","271","","62.6","Measured",".019","Calculated",".068","Measured","221.2","Measured","333.8","Measured",".103","Calculated","3253.1","110","395"
"MD","Brandon Shores","602","1","02-01-2017","15","1","269","","54.3","Measured",".017","Calculated",".067","Measured","210.3","Measured","322.1","Measured",".103","Calculated","3139.4","110","395"
"MD","Brandon Shores","602","1","02-01-2017","16","1","274","","61.1","Measured",".018","Calculated",".068","Measured","225.6","Measured","340.5","Measured",".103","Calculated","3318.3","110","395"
"MD","Brandon Shores","602","1","02-01-2017","17","1","280","","51","Measured",".016","Calculated",".069","Measured","220.2","Measured","327.4","Measured",".103","Calculated","3190.6","110","395"
"MD","Brandon Shores","602","1","02-01-2017","18","1","292","","65.9","Measured",".019","Calculated",".061","Measured","207","Measured","348.2","Measured",".103","Calculated","3393.6","110","395"
