"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","OP_HOUR","OP_TIME","GLOAD (MW)","SLOAD (1000lb/hr)","SO2_MASS (lbs)","SO2_MASS_MEASURE_FLG","SO2_RATE (lbs/mmBtu)","SO2_RATE_MEASURE_FLG","NOX_RATE (lbs/mmBtu)","NOX_RATE_MEASURE_FLG","NOX_MASS (lbs)","NOX_MASS_MEASURE_FLG","CO2_MASS (tons)","CO2_MASS_MEASURE_FLG","CO2_RATE (tons/mmBtu)","CO2_RATE_MEASURE_FLG","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"ND","R M Heskett","2790","B2","02-01-2017","0","1","59","","556.9","Measured",".832","Calculated",".409","Measured","273.826","Calculated","72.9","Measured",".109","Calculated","669.5","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","1","1","59","","557","Measured",".824","Calculated",".411","Measured","277.795","Calculated","73.6","Measured",".109","Calculated","675.9","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","2","1","59","","547.7","Measured",".815","Calculated",".396","Measured","265.993","Calculated","73.1","Measured",".109","Calculated","671.7","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","3","1","58","","533.7","Measured",".794","Calculated",".415","Measured","278.963","Calculated","73.2","Measured",".109","Calculated","672.2","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","4","1","58","","530.9","Measured",".789","Calculated",".415","Measured","279.337","Calculated","73.3","Measured",".109","Calculated","673.1","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","5","1","58","","549.2","Measured",".811","Calculated",".408","Measured","276.134","Calculated","73.7","Measured",".109","Calculated","676.8","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","6","1","58","","510.5","Measured",".743","Calculated",".405","Measured","278.397","Calculated","74.8","Measured",".109","Calculated","687.4","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","7","1","58","","563.6","Measured",".815","Calculated",".393","Measured","271.642","Calculated","75.3","Measured",".109","Calculated","691.2","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","8","1","59","","553.4","Measured",".808","Calculated",".396","Measured","271.379","Calculated","74.6","Measured",".109","Calculated","685.3","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","9","1","59","","559.2","Measured",".832","Calculated",".401","Measured","269.552","Calculated","73.2","Measured",".109","Calculated","672.2","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","10","1","58","","545","Measured",".803","Calculated",".408","Measured","276.991","Calculated","73.9","Measured",".109","Calculated","678.9","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","11","1","59","","558.7","Measured",".826","Calculated",".402","Measured","271.953","Calculated","73.6","Measured",".109","Calculated","676.5","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","12","1","58","","520.6","Measured",".777","Calculated",".412","Measured","276.205","Calculated","73","Measured",".109","Calculated","670.4","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","13","1","58","","540.1","Measured",".809","Calculated",".411","Measured","274.425","Calculated","72.7","Measured",".109","Calculated","667.7","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","14","1","59","","564.1","Measured",".84","Calculated",".401","Measured","269.432","Calculated","73.2","Measured",".109","Calculated","671.9","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","15","1","59","","562.9","Measured",".837","Calculated",".404","Measured","271.811","Calculated","73.2","Measured",".109","Calculated","672.8","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","16","1","59","","564.9","Measured",".837","Calculated",".4","Measured","270.08","Calculated","73.5","Measured",".109","Calculated","675.2","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","17","1","59","","564.6","Measured",".829","Calculated",".405","Measured","275.684","Calculated","74.1","Measured",".109","Calculated","680.7","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","18","1","58","","545.9","Measured",".81","Calculated",".409","Measured","275.789","Calculated","73.4","Measured",".109","Calculated","674.3","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","19","1","59","","595.4","Measured",".883","Calculated",".4","Measured","269.64","Calculated","73.4","Measured",".109","Calculated","674.1","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","20","1","58","","643.1","Measured",".942","Calculated",".381","Measured","260.033","Calculated","74.3","Measured",".109","Calculated","682.5","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","21","1","59","","623.6","Measured",".911","Calculated",".374","Measured","255.966","Calculated","74.5","Measured",".109","Calculated","684.4","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","22","1","59","","588.1","Measured",".874","Calculated",".39","Measured","262.47","Calculated","73.3","Measured",".109","Calculated","673","532","1875"
"ND","R M Heskett","2790","B2","02-01-2017","23","1","59","","587.4","Measured",".862","Calculated",".382","Measured","260.218","Calculated","74.2","Measured",".109","Calculated","681.2","532","1875"
"ND","R M Heskett","2790","B2","02-02-2017","0","1","58","","564.4","Measured",".839","Calculated",".377","Measured","253.721","Calculated","73.3","Measured",".109","Calculated","673","532","1875"
"ND","R M Heskett","2790","B2","02-02-2017","1","1","59","","544.5","Measured",".803","Calculated",".4","Measured","271.28","Calculated","73.8","Measured",".109","Calculated","678.2","532","1875"
"ND","R M Heskett","2790","B2","02-02-2017","2","1","58","","555.5","Measured",".828","Calculated",".399","Measured","267.809","Calculated","73.1","Measured",".109","Calculated","671.2","532","1875"
"ND","R M Heskett","2790","B2","02-02-2017","3","1","58","","560.6","Measured",".831","Calculated",".396","Measured","267.142","Calculated","73.4","Measured",".109","Calculated","674.6","532","1875"
"ND","R M Heskett","2790","B2","02-02-2017","4","1","58","","552.8","Measured",".817","Calculated",".4","Measured","270.52","Calculated","73.6","Measured",".109","Calculated","676.3","532","1875"
"ND","R M Heskett","2790","B2","02-02-2017","5","1","58","","574.9","Measured",".85","Calculated",".409","Measured","276.689","Calculated","73.7","Measured",".109","Calculated","676.5","532","1875"
