"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","OP_HOUR","OP_TIME","GLOAD (MW)","SLOAD (1000lb/hr)","SO2_MASS (lbs)","SO2_MASS_MEASURE_FLG","SO2_RATE (lbs/mmBtu)","SO2_RATE_MEASURE_FLG","NOX_RATE (lbs/mmBtu)","NOX_RATE_MEASURE_FLG","NOX_MASS (lbs)","NOX_MASS_MEASURE_FLG","CO2_MASS (tons)","CO2_MASS_MEASURE_FLG","CO2_RATE (tons/mmBtu)","CO2_RATE_MEASURE_FLG","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"WY","Dave Johnston","4158","BW41","04-01-2017","0","1","105","","880.1","Measured",".774","Calculated",".282","Measured","320.465","Calculated","119.2","Measured",".105","Calculated","1136.4","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2017","1","1","105","","847.7","Measured",".752","Calculated",".278","Measured","313.501","Calculated","118.3","Measured",".105","Calculated","1127.7","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2017","2","1","105","","819.5","Measured",".725","Calculated",".291","Measured","329.063","Calculated","118.6","Measured",".105","Calculated","1130.8","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2017","3","1","105","","813.3","Measured",".726","Calculated",".296","Measured","331.609","Calculated","117.5","Measured",".105","Calculated","1120.3","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2017","4","1","103","","785.7","Measured",".715","Calculated",".277","Measured","304.478","Calculated","115.3","Measured",".105","Calculated","1099.2","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2017","5","1","102","","774","Measured",".707","Calculated",".284","Measured","310.81","Calculated","114.8","Measured",".105","Calculated","1094.4","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2017","6","1","101","","776.4","Measured",".709","Calculated",".283","Measured","309.744","Calculated","114.8","Measured",".105","Calculated","1094.5","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2017","7","1","102","","774.6","Measured",".701","Calculated",".293","Measured","323.56","Calculated","115.8","Measured",".105","Calculated","1104.3","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2017","8","1","102","","779.9","Measured",".71","Calculated",".306","Measured","336.019","Calculated","115.2","Measured",".105","Calculated","1098.1","764","2633"
"WY","Dave Johnston","4158","BW41","04-01-2017","9","1","101","","790.8","Measured",".726","Calculated",".303","Measured","330.149","Calculated","114.3","Measured",".105","Calculated","1089.6","764","2633"
