"respondent_id","report_yr","report_prd","spplmnt_num","row_num","avail_cap","plan_outage","unplan_outage","other_outage","tot_net","ex_avail_cap","ex_not_avail","tot_capability","avail_cap_f","plan_outage_f","unplan_outage_f","other_outage_f","tot_net_f","ex_avail_cap_f","ex_not_avail_f","tot_capability_f"
2,2006,12,0,100,"3333","11","213","39","3596","-48","55","3603",0,0,0,0,0,0,0,0
2,2006,12,0,200,"3687","419","2","12","4120","178","55","4353",0,0,0,0,0,0,0,0
2,2006,12,0,300,"3530","576","109","18","4233","261","0","4494",0,0,0,0,0,0,0,0
2,2006,12,0,400,"3158","908","0","0","4066","257","-9","4314",0,0,0,0,0,0,0,0
2,2006,12,0,500,"4072","0","0","10","4082","197","-20","4259",0,0,0,0,0,0,0,0
2,2006,12,0,600,"3679","427","0","68","4174","197","0","4371",0,0,0,0,0,0,0,0
2,2006,12,0,700,"3743","335","106","15","4199","206","0","4405",0,0,0,0,0,0,0,0
2,2006,12,0,800,"4083","0","0","11","4094","206","0","4300",0,0,0,0,0,0,0,0
2,2006,12,0,900,"4059","0","105","86","4250","215","0","4465",0,0,0,0,0,0,0,0
2,2006,12,0,1000,"3692","114","0","27","3833","208","0","4041",0,0,0,0,0,0,0,0
2,2006,12,0,1100,"3185","576","0","62","3823","220","81","4124",0,0,0,0,0,0,0,0
2,2006,12,0,1200,"3677","136","0","17","3830","231","0","4061",0,0,0,0,0,0,0,0
99991,2006,12,0,100,"2121212","4545454","212121","8989898","15868685","232323","2121212","18222220",0,0,0,0,0,0,0,0
99991,2006,12,0,200,"33333333","565656","32322","212121","34143432","343434","232323","34719189",0,0,0,0,0,0,0,0
99991,2006,12,0,300,"434343","76767","343434","32323232","33177776","454545","343434","33975755",0,0,0,0,0,0,0,0
99991,2006,12,0,400,"6","1","1","1","9","2323232","45454","2368695",0,0,2,0,0,0,0,0
99991,2006,12,0,500,"2323232","78787","6565656","45454","9013129","34343","65656","9113128",0,0,0,0,0,0,0,0
99991,2006,12,0,600,"3232232","898989","676767","565656","5373644","3434343","767676","9575663",0,0,0,0,0,0,0,0
99991,2006,12,0,700,"343434","90909","787878","67676","1289897","323232","7887878","9501007",0,0,0,0,0,0,0,0
99991,2006,12,0,800,"454545","2323232","8989898","787878","12555553","21212","898989","13475754",0,0,0,0,0,0,0,0
99991,2006,12,0,900,"2","2","2","2","8","34434","909090","943532",0,0,0,0,0,0,0,0
99991,2006,12,0,1000,"676767","454545","232323","7878787","9242422","545454","334344","10122220",0,0,0,0,0,0,0,0
99991,2006,12,0,1100,"11111","56565","454545","545454","1067675","56556","45454","1169685",0,0,0,0,0,0,0,0
99991,2006,12,0,1200,"898989","676767","5656565","7676767","14909088","6565656","6565656","28040400",0,0,0,0,0,0,0,0
136,2006,12,0,100,"32","0","20","0","52","42","0","94",0,0,0,0,0,0,0,0
136,2006,12,0,200,"24","0","28","0","52","42","0","94",0,0,0,0,0,0,0,0
136,2006,12,0,300,"37","0","15","0","52","29","13","94",0,0,0,0,0,0,0,0
136,2006,12,0,400,"35","0","17","0","52","31","11","94",0,0,0,0,0,0,0,0
136,2006,12,0,500,"34","0","18","0","52","39","3","94",0,0,0,0,0,0,0,0
136,2006,12,0,600,"35","0","17","0","52","42","0","94",0,0,0,0,0,0,0,0
136,2006,12,0,700,"35","0","17","0","52","42","0","94",0,0,0,0,0,0,0,0
136,2006,12,0,800,"42","0","10","0","52","42","0","94",0,0,0,0,0,0,0,0
136,2006,12,0,900,"42","0","10","0","52","42","0","94",0,0,0,0,0,0,0,0
136,2006,12,0,1000,"42","0","10","0","52","29","13","94",0,0,0,0,0,0,0,0
136,2006,12,0,1100,"42","0","10","0","52","29","13","94",0,0,0,0,0,0,0,0
136,2006,12,0,1200,"45","0","7","0","52","42","0","94",0,0,0,0,0,0,0,0
184,2006,12,0,100,"3120","555","0","0","3675","-77","0","3598",0,0,0,0,0,0,0,0
184,2006,12,0,200,"3675","0","0","0","3675","-77","0","3598",0,0,0,0,0,0,0,0
184,2006,12,0,300,"2895","619","0","161","3675","-77","0","3598",0,0,0,0,0,0,0,0
184,2006,12,0,400,"2897","591","0","8","3496","-77","0","3419",0,0,0,0,0,0,0,0
184,2006,12,0,500,"2888","580","0","28","3496","-77","0","3419",0,0,0,0,0,0,0,0
184,2006,12,0,600,"2979","510","0","7","3496","-77","0","3419",0,0,0,0,0,0,0,0
184,2006,12,0,700,"3259","134","0","103","3496","-77","0","3419",0,0,0,0,0,0,0,0
184,2006,12,0,800,"3311","112","0","38","3461","-77","0","3384",0,0,0,0,0,0,0,0
184,2006,12,0,900,"3218","232","0","46","3496","-77","0","3419",0,0,0,0,0,0,0,0
184,2006,12,0,1000,"2926","435","0","135","3496","-77","0","3419",0,0,0,0,0,0,0,0
184,2006,12,0,1100,"3664","0","0","11","3675","-77","0","3598",0,0,0,0,0,0,0,0
184,2006,12,0,1200,"3675","0","0","0","3675","-77","0","3598",0,0,0,0,0,0,0,0
256,2006,12,0,100,"235","39","0","0","274","484","0","758",0,0,0,0,0,0,0,0
256,2006,12,0,200,"235","39","0","0","274","484","0","758",0,0,0,0,0,0,0,0
256,2006,12,0,300,"176","98","0","0","274","481","3","758",0,0,0,0,0,0,0,0
256,2006,12,0,400,"176","98","0","0","274","484","0","758",0,0,0,0,0,0,0,0
256,2006,12,0,500,"171","98","0","0","269","482","2","753",0,0,0,0,0,0,0,0
256,2006,12,0,600,"228","41","0","0","269","456","28","753",0,0,0,0,0,0,0,0
256,2006,12,0,700,"227","42","0","0","269","462","22","753",0,0,0,0,0,0,0,0
256,2006,12,0,800,"230","39","0","0","269","442","42","753",0,0,0,0,0,0,0,0
256,2006,12,0,900,"262","40","0","0","302","448","3","753",0,0,0,0,0,0,0,0
256,2006,12,0,1000,"249","53","0","0","302","432","19","753",0,0,0,0,0,0,0,0
256,2006,12,0,1100,"263","44","0","0","307","429","22","758",0,0,0,0,0,0,0,0
256,2006,12,0,1200,"204","103","0","0","307","429","22","758",0,0,0,0,0,0,0,0
179,2006,12,0,100,"1746","0","0","0","1746","0","0","1746",0,0,0,0,0,0,0,0
