"respondent_id","report_yr","report_prd","spplmnt_num","row_num","lambda_calc_desc","lambda_calc_desc_plain","lambda_calc_desc_f"
99991,2006,12,0,100,,"This Final Rule revises Parts 260, 357 and 385 of the Commission's regulations to require only the electronic filing of the FERC Form No. 2 ""Annual Report of Major Natural Gas Companies"" (Form 2), FERC Form No. 2-A  ""Annual Report of Nonmajor Natural Gas Companies"" (Form 2-A) and FERC Form No. 6 AAnnual Report of Oil Pipeline Companies@ (Form 6).  The electronic data to be filed, commencing with reports for calendar year 2002, are due no later than March 31, 2003, for the Form 2-A and Form 6, and April 30, 2003, for the Form 2.  There will be no further requirement for paper copy filings of the Forms 2, 2-A and 6.  The Commission has determined that the elimination of the paper copies of the Forms 2, 2-A and 6 will provide significant benefits to both the respondents and the Commission.  These benefits include reduced printing and handling costs and an overall reduction in filing burden for the respondents, and a reduction in file processing and maintenance costs incurred by the Commission.  

II.	BACKGROUND
Forms 2 and 2-A
2.	Forms 2 and 2-A data are collected pursuant to Sections 8 and 10 of the Natural Gas Act (NGA).  Section 8 of the NGA gives the Commission the authority to issue regulations and rules requiring accounts, records, and memoranda.  Section 10 of the NGA gives the Commission authority through rules and regulations to require periodic and special reports. 
3.	Forms 2 and 2-A collect general corporate information that includes:  summary financial information, balance sheet and income statement supporting information, gas plant, operating expenses and statistical data.  The information is used in the continuous review of the financial condition of jurisdictional companies, in various rate proceedings and in the Commission's audit program.  Forms 2 and 2-A data are also used to compute annual charges which are assessed against each jurisdictional natural gas pipeline and which are necessary to recover the Commission's annual costs.   

4.	Form 2 is filed by respondents determined to be ""Major Gas Companies"" under the Commission's jurisdiction.  A utility is defined as a ""Major Gas Company@ if it meets one of the following requirements: having combined gas sold for resale and gas transported or stored for a fee that exceeds 50 million Dth in each of the three previous calendar years.  For the Form 2-A, a respondent is defined as a ""Non Major Natural Gas Company@ if it meets the following requirement: has total annual volume transactions exceeding 200,000 Dekatherms (Dth) in each of the three previous calendar years and it is not classified as AMajor.@  
5.	The Forms 2 and 2-A are annual submissions from approximately 62 and 48, jurisdictional natural gas companies, respectively.  Earlier this year, the Office of Management and Budget (OMB) approved 3-year extensions for both Forms.  The Commission's Forms 2 and 2-A filing requirements are found at 18 CFR '' 260.1 and 260.2. 
Form 6

6.	In 1977, the responsibility to regulate oil pipeline companies was transferred to the Commission from the Interstate Commerce Commission (ICC).   In accordance with the transfer of authority, the Commission was delegated the responsibility under Section 1 of the Interstate Commerce Act to regulate the rates and charges for transportation of oil by pipeline and establish valuation of those pipelines, and under Section 20 of that Act to require pipelines to file annual reports of information necessary to exercise its statutory responsibilities. 	
",0
136,2006,12,0,100,,"
The City of Homestead's Automatic Generation Controller does not contain a System Lamda component. This is because all 16 generators are diesel reciprocating engines, and there are no incremental energy cost associated with these units. Each diesel unit has a flat heat rate curve and thereis no real cost curve associated with it. The units come on line as needed at low load which is not very economical, and then ramped up to their maximum operating limit.

The City keeps on-line generation to meet both Spinning and Operating reserve equirements as manadated by the North Amenrican electrci relaibility Council (NERC)
The units are dispatched according to cost of generation.",0
184,2006,12,0,100,,"
Indianapolis Power & Light Company
Calculation of Control Area Hourly System Lambda

Indianapolis Power & Light Company’s system incremental cost curve is produced by combining the unit incremental fuel, variable scrubber, and emission allowance cost curves for all on-line generating units. The unit incremental cost curves consist of seven piecewise linear megawatt breakpoints each with an associated incremental cost.

The system incremental cost curve is constructed by summing the megawatt breakpoints of all units in ascending order of equal incremental costs including fuel, variable scrubber, and emission allowances.

IPL’s hourly system lambda is the incremental cost based on the system incremental cost curve for the net IPL generation at the top of each hour.

",0
256,2006,12,0,100,,"System lambda is not available.  SMMPA units are dispatched by the Midwest Independent System Operator (MISO) Energy Market.  Units are bid into the market day-ahead using latest energy cost.  The MISO clears the market each day and schedules units economically based on MISO-wide loads, costs, transmission constraints, losses, unit and transmission outages, etc.  MISO signals the awards to the unit operator (SMMPA) and SMMPA communicates the schedules to the plants for implementation.",0
124,2006,12,0,100,,"",0
179,2006,12,0,100,,"System Lambda values reflect the Midwest ISO (MISO) LMP pricing.",0
249,2006,12,0,100,,"Description of Economic Dispatch:
SPPC does not have an EMS system that contains an hourly system lambda algorithm.  The hourly incremental costs that we have provided are based on the higher cost of either the system generation or the market price proxy.  SPPC’s market price proxy is based on the COB index price shaped by the Mid-C hourly index price.",0
234,2006,12,0,100,,"Note on Method of Calculation of System Lambda

The system lambda value is calculated by the Economic Dispatch program every three minutes or on user demand.  The calculation seeks to minimize generator fuel costs and transmission system MW losses 
subject to the system power balance constraint (1).  The fuel cost function is augmented with the power balance constraint using a Lagrange multiplier and cast into a set of coordinatin equations.  The fuel cost minimum value is found by the simultaneous solution of these equations.  The resulting value of the Lagrange multiplier, is the system lambda.

1.  George L. Kusic, Computer -Aided Power Systems Analysis.  Englewood 
     Cliffs: Prentice-Hall, 1986


",0
161,2006,12,0,100,,"Electric Energy, Inc. dispatches energy based upon the preceding month's actual fuel costs per its contractural agreements.  Electric Energy, Inc. is not planning to develop System Lambda calculations.",0
186,2006,12,0,100,,"JEA defines system lambda as the cost of producing an additional increment of electricity. The next increment of electricity may be supplied by a generating unit of purchased power. If the lowest incremental cost is achieved through a generating unit, system lambda is calculated by taking the product of the incremental heat rate of the marginal generating unit at its present MW load level (mmBTU/MWh) and the fuel cost of the fuel being used by the marginal unit ($mmBTU). If the lowest incremental cost is achieved through a purchase, system lambda is simply the energy rate ($/MWh) for that purchase. This information is collected at JEA's System Operation Control Center (SOCC).",0
